Background	Year	Meanfit	Stdfit
HK68	1968	-0.016364044561617472	0.011511939139258956
HK68	1969	-0.1852001018933872	0.12486188322470008
HK68	1970	-1.1811413122640357	0.06902889965151549
HK68	1971	-1.1238866071183202	0.013444302248361356
HK68	1972	-0.015652982273465003	0.12241979039102291
HK68	1973	0.20807369118146032	0.11312154410905835
HK68	1974	-0.05587657840634245	0.16078396159536015
HK68	1975	-0.018169397036656376	0.17279601287001525
HK68	1976	0.20337748736323405	0.08142815230128979
HK68	1977	-0.5867467593143226	0.0698416918926801
HK68	1978	-0.6565884512070028	0.0
HK68	1979	-0.6565884512070028	0.0
HK68	1980	-0.6565884512070028	0.0
HK68	1981	-0.6565884512070028	0.0
HK68	1982	-0.8196763721138144	0.10995385384478838
HK68	1983	-1.3089401348342486	0.20629171557076698
HK68	1984	-1.6351159766478713	0.0
HK68	1985	-1.6351159766478711	6.69489673871845e-17
HK68	1986	-1.6351159766478713	0.0
HK68	1987	-1.6351159766478711	9.930136612989092e-17
HK68	1988	-1.5946623688517696	0.0404536077961016
HK68	1989	-1.6081469047838037	0.02696907186406773
HK68	1990	-1.5321431568032489	0.06907626750222441
HK68	1991	-1.5338999156316084	0.03524576031421397
HK68	1992	-1.2873874512996057	0.04975743285014733
HK68	1993	-1.0687654675024487	2.1878705029105676e-17
HK68	1994	-1.035948151821676	0.013849333852456768
HK68	1995	-0.973552440827224	0.02810061028914449
HK68	1996	-1.123099352065316	0.0057629110040183715
HK68	1997	-1.1211299171985063	0.007782587587065657
HK68	1998	-1.04142586400083	0.020831286469341813
HK68	1999	-1.0529231686310827	0.012379499407985895
HK68	2000	-1.1283411871995495	0.002056759186659302
HK68	2001	-1.127697025248062	0.0035598423634821746
HK68	2002	-1.1329123917572743	0.0017193374932404928
HK68	2003	-1.1343869787313534	0.001814146051251545
HK68	2004	-1.1274417167080524	0.002981939125297868
HK68	2005	-1.1286010208120287	0.0014815658888090073
HK68	2006	-1.0338580732709828	0.008580393682863079
HK68	2007	-0.848995419894914	0.004099835805166817
HK68	2008	-0.829976152353922	0.0022337860521633797
HK68	2009	-0.8220189251241443	0.0010517100864832734
