,strain,reg,R2_mean,R2_std,Var_mean,Var_std,Ran_Var_mean,Ran_Var_std
0,HK68,0.01,0.424439489,0.059045661,0.776766014,0.041852111,0.117797054,0.028779019
1,HK68,0.05,0.437821156,0.036926616,0.738807738,0.061237252,0.155379499,0.050447489
2,HK68,0.1,0.419715792,0.006746345,0.777708864,0.125379635,0.098763798,0.022206251
3,HK68,0.3,0.394119903,0.047256457,0.812388861,0.089032681,0.154128216,0.03248164
4,HK68,0.5,0.4803481,0.059922139,0.694487858,0.059562694,0.087127004,0.023234033
5,HK68,0.8,0.41964087,0.063592359,0.758582473,0.092299626,0.074827117,0.021675746
6,HK68,1,0.465870208,0.030387694,0.714249861,0.102734353,0.085049816,0.049894527
7,HK68,1.5,0.398255644,0.043633786,0.747882056,0.096515321,0.103408107,0.015701799
8,HK68,2,0.449717589,0.09220074,0.772956765,0.078970666,0.047111652,0.024411114
9,HK68,10,0.452122786,0.028715041,0.68625288,0.036978227,0.028983279,0.017954498
0,Bk79,0.01,0.660522823,0.034986965,0.726038992,0.020359339,0.095404314,0.035277511
1,Bk79,0.05,0.664757798,0.007461849,0.820355535,0.119232187,0.09864476,0.024243651
2,Bk79,0.1,0.671971027,0.019133327,0.658623487,0.125964829,0.08547752,0.021679704
3,Bk79,0.3,0.688007521,0.012824096,0.791700172,0.141171299,0.089063805,0.023514504
4,Bk79,0.5,0.661107232,0.04816813,0.682198274,0.157384318,0.111857186,0.031946753
5,Bk79,0.8,0.689372888,0.014690937,0.703909636,0.062390279,0.097151119,0.040905955
6,Bk79,1,0.679093609,0.027027517,0.708583522,0.05919389,0.076675291,0.027669112
7,Bk79,1.5,0.682202286,0.03360191,0.67360127,0.022551893,0.058430672,0.019235208
8,Bk79,2,0.698054113,0.034801451,0.675316787,0.06336615,0.061208211,0.027814589
9,Bk79,10,0,0,0.318754971,0.391769036,0.014188793,0.021506194
0,Bei89,0.01,0.876811363,0.011375052,1.24535234,0.089234349,0.149930471,0.017120676
1,Bei89,0.05,0.882316636,0.0103197,1.279649663,0.069069502,0.179283726,0.049353681
2,Bei89,0.1,0.877494896,0.013923492,1.378191853,0.060013746,0.180815434,0.050487269
3,Bei89,0.3,0.880211039,0.012944101,1.19930191,0.096315933,0.139728846,0.0332945
4,Bei89,0.5,0.868242087,0.010014172,1.332186556,0.115835261,0.192100397,0.048336516
5,Bei89,0.8,0.883398376,0.020034013,1.215971398,0.15399835,0.129068999,0.045619312
6,Bei89,1,0.883451459,0.005937134,1.237577748,0.070339387,0.118947767,0.028264084
7,Bei89,1.5,0.859410217,0.017495189,1.194647717,0.116834906,0.117269921,0.024770347
8,Bei89,2,0.8679701,0.022506399,1.231775999,0.06521577,0.116217527,0.034176661
9,Bei89,10,0.843279519,0.045519376,1.242349076,0.095103388,0.081813118,0.043251494
0,Mos99,0.01,0.827660425,0.032050817,0.609783602,0.043578682,0.07900826,0.017747188
1,Mos99,0.05,0.861570265,0.018204003,0.648445153,0.094247986,0.094075535,0.017840254
2,Mos99,0.1,0.832053694,0.030051748,0.627248788,0.068669561,0.089180873,0.032837608
3,Mos99,0.3,0.829747695,0.030739705,0.601144445,0.040438411,0.078415356,0.020946534
4,Mos99,0.5,0.824417724,0.044230058,0.636817515,0.027785168,0.077641901,0.025519547
5,Mos99,0.8,0.828098308,0.01454806,0.681303644,0.037452633,0.065763922,0.001974766
6,Mos99,1,0.842672524,0.02185459,0.694168043,0.069898602,0.075590967,0.016918872
7,Mos99,1.5,0,0,0.517867959,0.261770385,0.045402826,0.03270813
8,Mos99,2,0,0.02534274,0.649891323,0.103784459,0.044571507,0.014452992
9,Mos99,10,0,0,0.474297804,0.25270154,0.021238478,0.012963456
0,Vic11,0.01,0.858994661,0.012817885,0.682431948,0.101309025,0.070033104,0.012358364
1,Vic11,0.05,0.853325264,0.009758723,0.716060376,0.132837181,0.063535702,0.019944229
2,Vic11,0.1,0.845165625,0.012052974,0.689514804,0.123320629,0.096359965,0.015570365
3,Vic11,0.3,0.853192411,0.01937515,0.737739718,0.087917128,0.088757849,0.035089818
4,Vic11,0.5,0.863331459,0.013997064,0.735745251,0.105372469,0.063912992,0.023318775
5,Vic11,0.8,0.850865194,0.015738409,0.791108048,0.053693607,0.08143823,0.02284231
6,Vic11,1,0.861903681,0.016946671,0.856838012,0.104233643,0.096475988,0.034047718
7,Vic11,1.5,0.846234861,0.020395535,0.802260602,0.043396884,0.069938558,0.03067703
8,Vic11,2,0,0,0.544712746,0.275407929,0.042431355,0.024308473
9,Vic11,10,0,0.021515654,0.710198736,0.068802792,0.04360248,0.017772734
0,HK19,0.01,0.807214534,0.004437295,1.028376865,0.073242871,0.147273168,0.03253325
1,HK19,0.05,0.800739948,0.019943195,0.908585012,0.082888863,0.141281147,0.032737006
2,HK19,0.1,0.819503473,0.021554278,0.940789342,0.160309608,0.147011036,0.04063412
3,HK19,0.3,0.821581911,0.025014125,0.928918552,0.123523031,0.089465918,0.04395759
4,HK19,0.5,0.793462568,0.023825262,0.915754628,0.153940836,0.117202795,0.023563484
5,HK19,0.8,0.775697845,0.038345209,0.922729659,0.072635577,0.085994896,0.024216625
6,HK19,1,0.801280057,0.008748907,0.867748404,0.133138043,0.105189279,0.018548049
7,HK19,1.5,0.799388032,0.025469286,0.922225189,0.066902098,0.105942495,0.012238698
8,HK19,2,0.782702105,0.047071957,0.888203216,0.086712525,0.074843954,0.016451175
9,HK19,10,0,0,0.6915604,0.357447888,0.024839995,0.013501516
